Product_ID,Product_Type,Product_Name,Category,Risk_Level,Expected_Return (%),Investment_Horizon (Years),Volatility_Level
100780,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),General Mutual Fund,Medium,8.0,3,Medium
148656,Mutual Fund,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,General Mutual Fund,Medium,8.0,3,Medium
148655,Mutual Fund,TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,General Mutual Fund,Medium,8.0,3,Medium
148672,Mutual Fund,TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,General Mutual Fund,Medium,8.0,3,Medium
148678,Mutual Fund,TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,General Mutual Fund,Medium,8.0,3,Medium
148681,Mutual Fund,TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,General Mutual Fund,Medium,8.0,3,Medium
148670,Mutual Fund,TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,General Mutual Fund,Medium,8.0,3,Medium
148675,Mutual Fund,TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,General Mutual Fund,Medium,8.0,3,Medium
148669,Mutual Fund,TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,General Mutual Fund,Medium,8.0,3,Medium
148667,Mutual Fund,TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,General Mutual Fund,Medium,8.0,3,Medium
148674,Mutual Fund,TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,General Mutual Fund,Medium,8.0,3,Medium
148668,Mutual Fund,TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,General Mutual Fund,Medium,8.0,3,Medium
